,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5288,2023-562433,2023-06-20,1,Vente,1050000.0,5.0,,RUE ALFRED BRUNEAU,170,75016.0,75116,Paris 16e Arrondissement,75,,,75116000CI0087,,,38,72.65,,,,,,,,,1,2.0,Appartement,73.0,3.0,,,,,,2.277185,48.856157
5289,2023-562436,2023-06-14,1,Vente,354000.0,29.0,,BD AUGUSTE BLANQUI,541,75013.0,75113,Paris 13e Arrondissement,75,,,75113000EC0072,,,7,37.35,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.352592,48.830081
5290,2023-562439,2023-06-13,1,Vente,147500.0,45.0,,BD MURAT,6639,75016.0,75116,Paris 16e Arrondissement,75,,,75116000AY0021,,,80,13.76,,,,,,,,,1,2.0,Appartement,14.0,1.0,,,,,,2.257374,48.844036
5291,2023-562440,2023-05-26,1,Vente,160000.0,288.0,,RUE DE VAUGIRARD,9624,75015.0,75115,Paris 15e Arrondissement,75,,,75115000BS0071,,,42,15.2,,,,,,,,,1,2.0,Appartement,17.0,1.0,,,,,,2.298443,48.838728
5292,2023-562441,2023-06-19,1,Vente,960000.0,11.0,,RUE DE LILLE,5686,75007.0,75107,Paris 7e Arrondissement,75,,,75107000AC0030,,,42,,,,,,,,,,1,2.0,Appartement,65.0,3.0,,,,,,2.331309,48.857786
5293,2023-562452,2023-06-16,1,Vente,2545000.0,21.0,,RUE LEROUX,5603,75016.0,75116,Paris 16e Arrondissement,75,,,75116000FD0011,,,3,212.14,,,,,,,,,1,2.0,Appartement,218.0,3.0,,,,,,2.285823,48.871805
5294,2023-562453,2023-06-09,1,Vente,570000.0,104.0,,AV DE VERSAILLES,9706,75016.0,75116,Paris 16e Arrondissement,75,,,75116000AJ0010,,,24,48.42,,,,,,,,,1,2.0,Appartement,53.0,3.0,,,,,,2.270336,48.844527
5295,2023-562460,2023-06-06,1,Vente,303000.0,30.0,,RUE KELLER,5144,75011.0,75111,Paris 11e Arrondissement,75,,,75111000BY0006,,,18,26.81,,,,,,,,,1,2.0,Appartement,27.0,2.0,,,,,,2.375872,48.855233
5296,2023-562463,2023-06-07,1,Vente,516275.0,158.0,,BD VINCENT AURIOL,9853,75013.0,75113,Paris 13e Arrondissement,75,,,75113000AP0004,,,37,65.0,,,,,,,,,1,2.0,Appartement,63.0,4.0,,,,,,2.359114,48.832317
5297,2023-562467,2023-06-02,1,Vente,385000.0,79.0,,RUE DU CHEMIN VERT,1966,75011.0,75111,Paris 11e Arrondissement,75,,,75111000AZ0070,,,12,36.5,,,,,,,,,1,2.0,Appartement,38.0,2.0,,,,,,2.379243,48.860727
5298,2023-562469,2023-06-14,1,Vente,57500.0,14.0,,RUE GEORGE SAND,4116,75016.0,75116,Paris 16e Arrondissement,75,,,75116000BX0025,,,58,7.56,,,,,,,,,1,2.0,Appartement,120.0,5.0,,,,,,2.269355,48.84938
5299,2023-562471,2023-06-16,1,Vente,299000.0,12.0,,RUE VIOLET,9869,75015.0,75115,Paris 15e Arrondissement,75,,,75115000DJ0082,,,38,26.32,,,,,,,,,1,2.0,Appartement,29.0,1.0,,,,,,2.294076,48.84927
5300,2023-562475,2023-06-07,1,Vente,613000.0,51.0,,AV DE LA BOURDONNAIS,5202,75007.0,75107,Paris 7e Arrondissement,75,,,75107000CD0005,,,3,52.12,,,,,,,,,1,2.0,Appartement,52.0,3.0,,,,,,2.300813,48.857549
5301,2023-562476,2023-06-20,1,Vente,91100.0,15.0,,RUE DURET,3039,75016.0,75116,Paris 16e Arrondissement,75,,,75116000FA0031,,,49,9.11,,,,,,,,,1,2.0,Appartement,157.0,5.0,,,,,,2.285513,48.874296
5302,2023-562479,2023-06-14,1,Vente,110000.0,62.0,,AV FELIX FAURE,3553,75015.0,75115,Paris 15e Arrondissement,75,,,75115000EN0040,,,19,11.18,,,,,,,,,1,2.0,Appartement,12.0,1.0,,,,,,2.285978,48.840585
5303,2023-562480,2023-06-02,1,Vente,350000.0,36.0,,RUE DE L ABBE GROULT,12,75015.0,75115,Paris 15e Arrondissement,75,,,75115000BQ0027,,,32,36.2,,,,,,,,,1,2.0,Appartement,35.0,1.0,,,,,,2.294698,48.841353
5304,2023-562483,2023-06-09,1,Vente,840000.0,4.0,,RUE DE PLELO,7536,75015.0,75115,Paris 15e Arrondissement,75,,,75115000EP0012,,,9,,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.287967,48.840734
5305,2023-562484,2023-05-26,1,Vente,860000.0,52.0,,RUE BALARD,639,75015.0,75115,Paris 15e Arrondissement,75,,,75115000FT0065,,,3,,,,,,,,,,1,2.0,Appartement,115.0,5.0,,,,,,2.277383,48.841475
5306,2023-562488,2023-06-02,1,Vente,148000.0,33.0,,RUE DE LA BUTTE AUX CAILLES,1394,75013.0,75113,Paris 13e Arrondissement,75,,,75113000EE0049,,,20,,,,,,,,,,1,2.0,Appartement,16.0,1.0,,,,,,2.348001,48.827419
5307,2023-562489,2023-05-31,1,Vente,1630000.0,21.0,,QUAI ANDRE CITROEN,318,75015.0,75115,Paris 15e Arrondissement,75,,,75115000FZ0003,,,316,,,,,,,,,,1,2.0,Appartement,93.0,3.0,,,,,,2.280382,48.847795
5308,2023-562496,2023-06-08,1,Vente,698400.0,27.0,,RUE JUSSIEU,5130,75005.0,75105,Paris 5e Arrondissement,75,,,75105000AH0011,,,32,,,,,,,,,,1,2.0,Appartement,27.0,2.0,,,,,,2.353752,48.84663
5309,2023-562501,2023-06-09,1,Vente,310000.0,26.0,,RUE DE LA REINE BLANCHE,8115,75013.0,75113,Paris 13e Arrondissement,75,,,75113000AS0007,,,104,,,,,,,,,,1,2.0,Appartement,27.0,1.0,,,,,,2.35297,48.836271
5310,2023-562502,2023-06-01,1,Vente,300000.0,5.0,,RUE LE DANTEC,5463,75013.0,75113,Paris 13e Arrondissement,75,,,75113000EF0014,,,735,,,,,,,,,,1,2.0,Appartement,13.0,1.0,,,,,,2.347237,48.829178
