IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
800010502;26,0;47,5;6040;13960;21930;1,14;0;3840;7230;10770;17230;20190;23720;29220;so;55,7;0,449;57,2;50,7;4,5;2,0;40,2;2,6;0
800010503;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
800160101;36,3;31,8;11240;17920;24260;0,73;3380;9070;12500;15280;19900;22720;26290;30740;9,1;9,2;0,328;53,8;48,9;3,6;1,3;45,1;1,1;0
800160201;37,5;30,1;11060;18360;25260;0,77;4420;9090;13100;16080;20950;23520;28190;35610;8,1;10,4;0,373;58,2;50,6;3,5;4,1;36,4;5,4;0
800160301;40,6;31,4;11190;18310;26700;0,85;5460;9410;12800;15730;21080;24170;28910;35170;6,4;8,5;0,355;64,3;56,4;3,6;4,3;31,1;4,6;0
800210101;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
800210201;s;75,3;2500;7860;12850;1,32;0;650;4110;6160;9670;11780;15070;19760;so;361,7;0,482;65,8;s;s;s;33,1;1,1;0
800210202;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
800210203;s;79,6;1050;6450;11320;1,59;0;380;2320;4690;8150;10170;13300;17790;so;463,1;0,514;71,4;s;s;s;28,5;0,1;0
800210204;20,4;59,6;4980;11240;17740;1,13;90;3780;6160;8870;13390;16540;19090;24900;284,6;29,8;0,456;67,4;58,1;8,0;1,3;28,1;4,5;0
800210301;47,3;26,8;12530;19260;25040;0,65;6800;11150;14250;16600;21450;23720;26890;32330;4,8;6,7;0,320;74,2;66,7;3,7;3,8;22,9;2,9;0
800210401;44,1;31,6;10690;18200;25720;0,83;5100;8950;12430;15460;21030;24150;27030;33930;6,7;8,5;0,354;75,4;67,0;3,4;5,0;22,9;1,7;0
800210501;44,6;32,7;9820;18870;26660;0,89;1440;7790;11990;15990;22030;24980;29340;36430;25,2;18,5;0,408;75,2;68,3;3,2;3,7;21,4;3,4;0
800210602;46,2;27,7;11910;19390;26830;0,77;4910;9820;14100;16640;22770;25080;29300;38510;7,8;10,0;0,376;71,9;62,9;3,0;6,0;25,6;2,5;0
800210603;42,4;30,9;10960;19050;26460;0,81;3340;9220;12820;16080;21780;24600;28210;35470;10,6;12,1;0,398;70,7;61,2;2,9;6,6;26,8;2,5;0
800210604;47,1;27,5;12220;20200;27910;0,78;4110;10610;13790;17330;22860;25530;29940;39710;9,7;10,3;0,359;79,3;72,1;3,7;3,5;19,5;1,2;0
800210605;48,6;29,8;11380;20300;31160;0,97;4820;9660;13300;17050;23640;28000;34320;44450;9,2;13,1;0,438;74,9;61,1;2,9;10,9;21,0;4,1;0
800210606;51,3;24,1;13510;21350;30000;0,77;6160;11190;15450;18900;24090;27490;33290;41790;6,8;8,5;0,361;77,0;71,4;2,7;2,9;19,3;3,7;0
